id	x	y	cluster	weight<Links>	weight<Total link strength>
1119	-0.3548	-0.4404	2	4534	841.1023
112	1.2569	-0.1449	1	4534	390.2936
1120	-0.5571	-0.3201	2	4534	801.3126
1121	-0.4946	-0.3514	2	4534	920.5315
1122	0.241	0.0036	5	4534	293.2646
1123	-0.0548	-0.1649	5	4534	485.3034
1124	0.9614	0.246	1	4534	152.6113
1125	1.041	-0.2444	1	4534	491.2056
1126	0.6023	0.4055	1	4534	228.5445
1127	-0.8511	0.0805	3	4534	115.9576
1128	-0.7301	-0.1515	2	4534	876.6779
1129	-0.5311	-0.2395	2	4534	293.7035
113	-0.6382	-0.1328	2	4534	509.4666
1130	1.0385	0.1131	1	4534	146.5546
1131	-0.8389	-0.1112	3	4534	918.1771
1132	0.9588	-0.299	1	4534	445.6138
1133	-0.7285	0.3517	3	4534	283.6667
1134	-0.8317	-0.098	3	4534	510.0782
1135	0.7851	0.3514	1	4534	236.7811
1136	-1.0405	0.2282	3	4534	345.5613
1137	1.1953	0.5021	1	4534	117.7599
1138	-0.8293	-0.1183	2	4534	582.826
1139	-1.0077	0.1542	3	4534	168.9158
114	-0.9304	0.1741	3	4534	186.8663
1140	1.1014	-0.3258	1	4534	513.7414
1141	0.7649	0.3643	1	4534	209.0714
1142	-1.0385	0.1191	3	4534	466.8293
1143	0.8518	0.2467	1	4534	268.9447
1144	0.5374	0.0349	5	4534	308.6912
1145	0.6717	-0.6265	1	4534	386.7701
1146	-0.9778	-0.1034	3	4534	414.6717
1147	-1.0608	-0.0205	3	4534	325.1402
1148	-0.574	-0.3111	2	4534	734.5046
1149	-0.4517	0.2413	3	4534	166.2199
115	1.1371	-0.313	1	4534	488.4683
1150	0.015	0.6173	4	4534	111.4928
1151	0.6775	-0.0232	5	4534	387.2314
1152	0.4841	0.1175	5	4534	264.3872
1153	-0.3243	-0.302	5	4534	506.4836
1154	1.1091	-0.0674	1	4534	263.8838
1155	-0.3469	0.0793	5	4534	588.1531
1156	1.0817	0.2004	1	4534	271.4142
1157	-0.3187	-0.3336	2	4534	622.7869
1158	-0.1595	0.3925	4	4534	291.3998
1159	0.0501	-0.1079	5	4534	397.8614
116	0.9588	-0.3521	1	4534	677.6356
1160	-1.0454	0.1602	3	4534	345.2745
1161	0.2192	0.0211	5	4534	310.2926
1162	-0.2331	-0.0456	5	4534	420.6926
1163	-1.0863	0.2498	3	4534	161.7552
1164	-0.9852	0.1425	3	4534	204.1995
1165	-0.3448	0.1103	5	4534	372.736
1166	0.9603	0.1051	1	4534	323.8251
1167	-0.2221	-0.3098	5	4534	353.0236
1168	1.0201	-0.0717	1	4534	315.6558
1169	-0.154	-0.1232	3	4534	576.8519
117	1.053	-0.3315	1	4534	574.5753
1170	1.1363	-0.3191	1	4534	545.0821
1171	-0.4784	-0.0532	2	4534	756.037
1172	-0.1674	-0.2894	2	4534	482.6777
1173	0.5402	-0.3392	1	4534	435.8001
